source_name,sum(vbm.total_vaccinations),source_url
Public Health Agency of Sweden,1105950050,https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/
Public Health France,25689851803,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Robert Koch Institut,31134945414,https://impfdashboard.de/
SPC Public Health Division,69046702,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Saudi Health Council,10134271465,https://covid19.moh.gov.sa/
Sciensano,4501011384,https://epistat.wiv-isp.be/covid/
Secretary of Health,21241388350,http://www.gob.mx/cms/uploads/attachment/file/702075/2022.02.07_17h00_ComunicadoTecnicoDiario_Covid19.pdf
State governments via coronavirusbra1.github.io,59711352903,https://coronavirusbra1.github.io
Statens Serum Institute,2360308225,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
Taiwan Centers for Disease Control,3659729341,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
World Health Organization,29863972749,https://covid19.who.int/
