date,Australia,Canada,England,Poland
25/02/2021,9,508854,558737,
25/03/2021,32861,668877,2226749,
25/04/2021,232742,1045835,10791851,2578244
25/05/2021,474711,1749400,20034770,5855700
25/06/2021,1386231,9356822,27144408,
25/07/2021,3359005,20956259,31181649,16986230
25/08/2021,6661200,25130993,35292109,
25/09/2021,10634837,26768204,37489410,19374121
25/10/2021,15733744,28072232,38204812,19846726
25/11/2021,18594054,28939125,38783827,20343006
25/12/2021,19678606,29366937,39671750,20922571
26/01/2022,20142694,29940348,40495461,21662397
26/02/2021,11,521730,574963,1168058
26/03/2021,34694,677503,2477711,1969905
26/04/2021,233581,1054905,11041619,
26/05/2021,481420,1802878,20403324,6071067
26/06/2021,1449632,9756793,27316732,12612947
26/07/2021,3445022,21305448,31297573,17040924
26/08/2021,6808469,25212942,35419376,18618197
26/09/2021,10703942,26810928,37510886,
26/10/2021,15893583,28112904,38224311,19886266
26/11/2021,18655024,28964500,38805750,
26/12/2021,19699622,29367201,39673741,20922822
27/01/2022,20160170,29980491,40521787,21675140
27/02/2021,12,529829,590547,
27/03/2021,35969,684003,2679046,
27/04/2021,238524,1075659,11355235,2746824
27/05/2021,489970,1866070,20777366,6308403
27/06/2021,1477358,10074700,27414725,12682542
27/07/2021,3545062,21547505,31415901,17116255
27/08/2021,6950122,25288011,35534625,18670217
27/09/2021,10861999,26872085,37539476,19386322
27/10/2021,16050115,28152783,38243051,
27/11/2021,18685541,28977403,38836366,20398724
27/12/2021,19704056,29369067,39692427,
28/01/2022,20178059,30021580,40552037,21701001
28/02/2021,12,535548,599935,1186747
28/03/2021,36676,688174,2806124,1992611
28/04/2021,245240,1092121,11749387,2852329
28/05/2021,497244,1937922,21158221,6562897
28/06/2021,1478759,10696323,27522043,12810211
28/07/2021,3656540,21783373,31546949,17225194
28/08/2021,7044253,25342990,35651208,18704011
28/09/2021,11039616,26913108,37569146,19386695
28/10/2021,16212257,28193077,38262637,19924766
28/11/2021,18704697,28987779,38858848,20405229
28/12/2021,19709450,29377904,39719053,20984699
29/01/2022,20188421,30055128,40586419,
29/03/2021,46190,694135,2943529,
29/04/2021,252872,1113120,12144430,2872925
29/05/2021,498702,2007771,21540037,6786561
29/06/2021,1546497,11226699,27637527,13034402
29/07/2021,3762007,22013722,31692421,17316491
29/08/2021,7095576,25390677,35715918,18722803
29/09/2021,11202638,26963783,37599053,19404212
29/10/2021,16363567,28232591,38281812,19950503
29/11/2021,18759075,29010587,38881449,20418316
29/12/2021,19733014,29391565,39758399,
3/01/2022,19782523,29425975,39857874,21075266
3/02/2022,20258283,30263587,40703257,21819649
3/03/2021,15,566763,684220,1281179
3/04/2021,81318,731817,4304760,
3/05/2021,265396,1170449,13072543,2977374
3/06/2021,559834,2464483,22755909,7777048
3/07/2021,1855746,13040331,28238637,13854142
3/08/2021,4174026,22832510,32313406,17590257
3/09/2021,7793356,25700670,36177263,18902890
3/10/2021,11766864,27142252,37707715,19531281
3/11/2021,16907279,28379118,38366687,19999420
3/12/2021,18962130,29082569,38990840,20500035
30/01/2022,20194741,30098902,40609130,21727625
30/03/2021,50015,702525,3177357,2019040
30/04/2021,258529,1131122,12506188,
30/05/2021,499978,2073875,21719461,6868820
30/06/2021,1633434,11777117,27776520,13293459
30/07/2021,3865785,22232428,31835136,17398999
30/08/2021,7222529,25470637,35768055,18750231
30/09/2021,11386339,27019931,37629371,
30/10/2021,16469355,28257567,38304291,
30/11/2021,18808812,29024735,38909382,
30/12/2021,19755837,29402591,39798154,21042850
31/01/2022,20211402,30150833,40630005,21747458
31/03/2021,72724,711071,3519105,2039663
31/05/2021,506254,2139416,21874135,7019149
31/07/2021,3927056,22387511,32017961,17470071
31/08/2021,7369320,25522625,35873058,18787636
31/10/2021,16529442,28280047,38315755,19965507
31/12/2021,19755837,29414103,39817420,21046400
4/01/2022,19806589,29450265,39890930,21113044
4/02/2022,20273781,30301791,40729750,21847424
4/03/2021,19,572020,729265,1366648
4/04/2021,81630,732694,4344251,2073334
4/05/2021,271920,1190321,13284182,
4/06/2021,569645,2634678,23077511,8039881
4/07/2021,1877621,13331085,28324385,13902713
4/08/2021,4289820,22970427,32444987,17663125
4/09/2021,7879487,25747556,36293590,18927433
4/10/2021,11868894,27201011,37732461,19540515
4/11/2021,17033089,28414026,38383854,20018204
4/12/2021,18990458,29093311,39025116,20521241
5/01/2022,19832376,29467043,39920709,21148641
5/02/2022,20282518,30331176,40755204,21868932
5/03/2021,24,575585,766500,
5/04/2021,83011,746026,4398311,2074033
5/05/2021,278390,1208779,13632735,3308889
5/06/2021,573427,2779889,23493155,8169746
5/07/2021,1944225,13876048,28432362,14004587
5/08/2021,4408805,23125079,32588410,17735484
5/09/2021,7924726,25784916,36352855,18939077
5/10/2021,12084896,27244079,37756714,
5/11/2021,17164167,28446709,38402891,20042885
5/12/2021,19008755,29101944,39045988,20526976
6/01/2022,19857649,29490152,39947508,21153724
6/02/2022,20287496,30348306,40769251,21872680
6/03/2021,24,578045,788188,1424715
6/04/2021,90371,758045,4560777,
6/05/2021,285641,1231759,14051967,3451651
6/06/2021,613000,2906466,23710646,8223526
6/07/2021,2023935,14315888,28541510,14218165
6/08/2021,4526588,23267702,32725582,
6/09/2021,8046566,25806079,36422613,18957376
6/10/2021,12293262,27290541,37780849,
6/11/2021,17237996,28460991,38425760,20056333
6/12/2021,19055462,29123034,39067610,20562999
7/01/2022,19882365,29504056,39975308,21194976
7/03/2021,24,579691,797321,
7/04/2021,96573,775852,4933018,2090058
7/05/2021,292514,1257579,14466698,3579910
7/06/2021,635461,3060747,23954753,8368827
7/07/2021,2099475,14776180,28669736,14511120
7/08/2021,4611321,23371737,32910451,17863405
7/09/2021,8186949,25865904,36495617,18982051
7/10/2021,12503241,27335305,37805057,
7/11/2021,17283428,28478818,38436962,20059964
7/12/2021,19101361,29137200,39090816,
8/01/2022,19896355,29517260,40016659,21228309
8/03/2021,24,589736,821121,1434640
8/04/2021,137272,794148,5336230,2096185
8/05/2021,294146,1278194,14871208,3650119
8/06/2021,651832,3250887,24207450,8621029
8/07/2021,2180544,15337883,28805193,14727053
8/08/2021,4651958,23454726,33004783,
8/09/2021,8330598,25912880,36571165,19011042
8/10/2021,12720856,27385016,37830063,
8/11/2021,17389176,28522993,38454360,20072598
8/12/2021,19149409,29157343,39115926,20608833
9/01/2022,19904821,29528397,40042198,21240294
9/03/2021,27,593845,868272,1445170
9/04/2021,145198,813509,5740436,
9/05/2021,294745,1286599,15031521,3671671
9/06/2021,669924,3490333,24461363,8930085
9/07/2021,2254598,15833178,28948796,14938143
9/08/2021,4761140,23607045,33117069,17910610
9/09/2021,8482722,25966696,36657757,
9/10/2021,12883681,27422667,37859814,
9/11/2021,17487181,28546674,38472568,20088239
9/12/2021,19196983,29168167,39145766,
